#foreign_key_ltable=ltable.Sno
#foreign_key_rtable=rtable.Sno
#key=_id
#ltable=POINTER
#rtable=POINTER
Unnamed: 0,_id,ltable.Sno,rtable.Sno,ltable.Album_Name,ltable.Artist_Name,ltable.CopyRight,ltable.Released,ltable.Song_Name,ltable.Time,rtable.Album_Name,rtable.Artist_Name,rtable.CopyRight,rtable.Released,rtable.Song_Name,rtable.Time,label
916,916,111,53124,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",vhs outro (interlude) [explicit],1:25,1
1053,1053,148,50767,title (deluxe),meghan trainor," 2014, 2015 epic records, a division of sony music entertainment",9-Jan-15,credit,2:51,title (deluxe),meghan trainor," 2011 what a music ltd, licence exclusive parlophone music france"," January 9, 2015",credit,2:51,1
1290,1290,206,41214,slow down (remixes),selena gomez," 2013 hollywood records, inc.",20-Aug-13,slow down (smash mode remix),5:21,slow down remixes,selena gomez," (c) 2013 hollywood records, inc."," August 20, 2013",slow down (smash mode remix),5:21,1
1424,1424,211,19812,slow down (reggae remixes) - single,selena gomez," 2013 hollywood records, inc.",20-Aug-13,slow down (sure shot rockers reggae dub remix),3:15,good for you (remixes),selena gomez, (c) 2015 interscope records," September 4, 2015",good for you (yellow claw & cesqeaux remix) [feat. a$ap rocky],3:01,0
1706,1706,250,53111,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",first show (interlude),0:11,0
1710,1710,250,53124,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",vhs outro (interlude) [explicit],1:25,1
1719,1719,251,53007,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [clean],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",moving day (interlude),0:19,0
1766,1766,252,53004,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs ,x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",vhs outro (interlude) ,1:26,1
1794,1794,252,53084,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs,x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",vhs outro (interlude) ,1:25,1
1826,1826,253,53033,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",smoke (interlude) [explicit],0:24,0
1840,1840,253,53073,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",smoke (interlude) [explicit],0:24,0
1875,1875,254,53033,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",smoke (interlude) [explicit],0:24,0
