13	www.accuweather.com									
(Timestamp)	(Location)	(Temperature) (°F)	RealFeel® (°F)	Winds	at (mph)	(Condition)	Humidity (%)	Dew Point (° F)	Pressure (in)	Visibility (Miles)
Fri Jan 29 08:46:38 2010	San Jose  95101 	48	51	CLM	0	Some Clouds 	89	45	30.06	10
Fri Jan 29 08:46:40 2010	Charlotte  28201 	42	41	N	5	Cloudy 	50	25	30.18	10
Fri Jan 29 08:46:42 2010	San Diego  92101 	56	58	CLM	0	Mostly Clear 	80	50	30.07	5
Fri Jan 29 08:46:44 2010	Denver  80214 	26	31	SE	3	Cloudy 	83	22	30.17	2
Fri Jan 29 08:46:47 2010	Memphis  37501 	33	18	NE	16	Cloudy 	63	22	30.31	10
Fri Jan 29 08:46:49 2010	Los Angeles  90001 	57	59	CLM	0	Clear 	74	49	30.06	10
Fri Jan 29 08:46:51 2010	El Paso  79901 	30	16	N	12	Lgt.Snow/Fog 	86	27	30.10	4
Fri Jan 29 08:46:53 2010	New York  10001 	19	-2	W	18	Clear 	41	-1	30.17	10
Fri Jan 29 08:46:56 2010	Baltimore  21201 	21	10	NNW	9	Partly Cloudy 	38	-1	30.33	10
Fri Jan 29 08:46:58 2010	Las Vegas  89101 	47	47	SSE	3	Clear 	63	35	30.07	10
Fri Jan 29 08:47:00 2010	Washington  20001 	24	9	NNW	14	Partly Cloudy 	43	5	30.34	10
Fri Jan 29 08:47:02 2010	Austin  73301 	59	51	NNW	10	Light Rain 	87	55	29.87	7
Fri Jan 29 08:47:05 2010	San Francisco  94101 	51	54	CLM	0	Cloudy 	89	48	30.04	6
Fri Jan 29 08:47:07 2010	Oklahoma City  73101 	28	11	N	16	Lgt.Frz.Driz. 	86	25	30.15	6
Fri Jan 29 08:47:09 2010	Nashville  37201 	28	20	N	8	Cloudy 	58	15	30.38	10
Fri Jan 29 08:47:11 2010	Fort Worth  76101 	46	37	NE	8	Rain 	88	43	30.00	8
Fri Jan 29 08:47:14 2010	Phoenix  85001 	55	52	ESE	7	Cloudy 	79	49	30.01	10
Fri Jan 29 08:47:16 2010	Portland  97201 	48	40	ESE	13	Cloudy 	60	35	30.00	10
Fri Jan 29 08:47:18 2010	Chicago  60601 	6	0	NNW	6	Mostly Clear 	57	-6	30.56	10
