4	www.climaton.com									
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Feels Like (°F °C)	(Wind Speed) (mph)	Wind	Dew Point (°F °C)	Humidity (%)	Pressure (inches)	Visibility (miles)
Fri Jan 29 08:46:22 2010	San Jose, California 95101  	mostly cloudy	48 9	48 9	0		45 7	87	30.06	10
Fri Jan 29 08:46:23 2010	Charlotte, North Carolina 28201  	clear sky	45 7	40 4	9	NE	25 -4	45	30.16	10
Fri Jan 29 08:46:23 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		50 10	82	30.07	5
Fri Jan 29 08:46:24 2010	Denver, Colorado 80214  	mostly cloudy	25 -4	21 -6	3	SE	21 -6	86	30.08	8
Fri Jan 29 08:46:24 2010	Memphis, Tennessee 37501  	mostly cloudy	34 1	24 -4	16-28	NE	21 -6	59	30.31	10
Fri Jan 29 08:46:25 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		48 9	72	30.06	10
Fri Jan 29 08:46:26 2010	New York, New York 10001  	clear sky	19 -7	16-Apr	18-26	W	0 -18	41	30.19	10
Fri Jan 29 08:46:26 2010	El Paso, Texas 79901  	light snow	30 -1	20 -7	12	N	27 -3	86	30.1	4
Fri Jan 29 08:46:26 2010	Baltimore, Maryland 21201  	normal	23 -5	23 -5			0 -18	35	30.33	
Fri Jan 29 08:46:27 2010	Las Vegas, Nevada 89101  	clear sky	46 8	45 7	3	SE	36 2	66	30.08	10
Fri Jan 29 08:46:27 2010	Washington, Washington D. C. 20001  	clear sky	25 -4	13 -11	14	NW	15-May	42	30.34	10
Fri Jan 29 08:46:27 2010	Austin, Texas 73301  	heavy rain	57 14	54 12	14-22	NW	55 13	94	29.93	2.5
Fri Jan 29 08:46:28 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	20 -7	8	N	16 -9	59	30.36	10
Fri Jan 29 08:46:28 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	27 -3	15 -9	16	N	25 -4	93	30.16	6
Fri Jan 29 08:46:28 2010	San Francisco, California 94101  	mostly cloudy	52 11	52 11	0		48 9	87	30.04	6
Fri Jan 29 08:46:29 2010	Fort Worth, Texas 76101  	moderate rain	46 8	42 6	8	NE	43 6	87	30	8
Fri Jan 29 08:46:29 2010	Phoenix, Arizona 85001  	mostly cloudy	55 13	53 12	7	E	48 9	77	30.03	10
Fri Jan 29 08:46:30 2010	Portland, Oregon 97201  	clear sky	19 -7	16-Mar	21-36	W	16-Mar	49	29.98	10
Fri Jan 29 08:46:31 2010	Indianapolis, Indiana 46201  	clear sky	12-Oct	16-Apr	3	N	17-Jan	66	30.45	10
Fri Jan 29 08:46:31 2010	San Antonio, Texas 78201  	light rain	57 14	54 12	29-Dec	N	54 12	88	29.9	5
Fri Jan 29 08:46:31 2010	Chicago, Illinois 60601  	clear sky	14-Jul	-2 -19	5	NW	-6 -21	55	30.52	10
Fri Jan 29 08:46:32 2010	Jacksonville, Florida 32099  	clear sky	48 9	48 9	0		41 5	76	30.18	10
Fri Jan 29 08:46:33 2010	Columbus, Ohio 43085  	clear sky	12-Oct	-2 -19	8	N	17-Jan	66	30.42	10
Fri Jan 29 08:46:33 2010	Dallas, Texas 75201  	light rain	43 6	39 4	6	NE	41 5	93	30.02	6
Fri Jan 29 08:46:33 2010	Houston, Texas 77001  	light rain	64 18	63 17	21-Dec	SE	63 17	94	29.86	9
Fri Jan 29 08:46:34 2010	Milwaukee, Wisconsin 53201  	clear sky	15-May	-6 -21	6	NW	-11 -24	46	30.51	10
Fri Jan 29 08:46:34 2010	Detroit, Michigan 48201  	clear sky	13-Sep	0 -18	5	W	-2 -19	61	30.45	10
