2	weather.cnn.com										
(Timestamp)	(Location)	Current Conditions  updated 	(Temperature) (°)	Hi (°)	Lo (°)	(Conditions)	Barometer (" Hg)	Feels like (°)	Humidity (%)	Wind	(Wind Speed) (mph)
Fri Jan 29 08:44:03 2010	San Jose, CA 	2:25 AM ET	48	60	43	 Intermittent Clouds 	30.06	51	89	CLM	0
Fri Jan 29 08:44:05 2010	Charlotte, NC 	2:25 AM ET	42	62	32	Cloudy 	30.18	43	50	N	5
Fri Jan 29 08:44:07 2010	San Diego, CA 	2:25 AM ET	56	65	51	 Mostly Clear 	30.08	62	80	CLM	0
Fri Jan 29 08:44:09 2010	Denver, CO 	2:25 AM ET	24	33	14	 Partly Cloudy 	30.18	24	88	S	6
Fri Jan 29 08:44:10 2010	Memphis, TN 	2:25 AM ET	33	51	31	Cloudy 	30.32	33	63	NE	16
Fri Jan 29 08:44:12 2010	Los Angeles, CA 	2:25 AM ET	57	68	50	 Clear 	30.06	61	74	CLM	0
Fri Jan 29 08:44:14 2010	El Paso, TX 	2:25 AM ET	33	52	37	Snow 	30.09	33	97	N	4
Fri Jan 29 08:44:16 2010	New York, NY 	2:25 AM ET	19	40	19	 Clear 	30.18	19	41	W	18
Fri Jan 29 08:44:18 2010	Baltimore, MD 	2:25 AM ET	21	47	22	 Partly Cloudy 	30.34	21	38	NNW	9
Fri Jan 29 08:44:20 2010	Las Vegas, NV 	2:25 AM ET	47	60	39	 Clear 	30.08	49	63	SSE	3
Fri Jan 29 08:44:22 2010	Washington, DC 	2:25 AM ET	24	54	22	 Partly Cloudy 	30.35	24	43	NNW	14
Fri Jan 29 08:44:24 2010	Austin, TX 	2:25 AM ET	59	68	42	Showers 	29.88	65	87	NNW	10
Fri Jan 29 08:44:26 2010	San Francisco, CA 	2:25 AM ET	51	57	47	Cloudy 	30.05	57	89	CLM	0
Fri Jan 29 08:44:28 2010	Oklahoma City, OK 	2:25 AM ET	28	33	20	Freezing Rain 	30.16	28	86	N	16
Fri Jan 29 08:44:30 2010	Nashville, TN 	2:25 AM ET	28	45	25	 Mostly Cloudy 	30.39	28	58	N	8
Fri Jan 29 08:44:32 2010	Fort Worth, TX 	2:25 AM ET	46	57	33	Rain 	30	49	88	NE	8
Fri Jan 29 08:44:34 2010	Phoenix, AZ 	2:25 AM ET	55	64	47	Cloudy 	30.02	61	79	ESE	7
Fri Jan 29 08:44:36 2010	Portland, OR 	2:25 AM ET	48	50	39	Cloudy 	30	50	60	ESE	13
Fri Jan 29 08:44:38 2010	Chicago, IL 	2:25 AM ET	6	14	7	 Mostly Clear 	30.58	6	57	NNW	6
Fri Jan 29 08:44:40 2010	San Antonio, TX 	2:25 AM ET	57	68	41	Showers 	29.9	63	87	N	21
Fri Jan 29 08:44:42 2010	Indianapolis, IN 	2:25 AM ET	10	22	11	 Mostly Clear 	30.51	10	66	N	3
Fri Jan 29 08:44:44 2010	Boston, MA 	2:25 AM ET	18	40	15	 Clear 	29.95	18	35	WNW	33
Fri Jan 29 08:44:45 2010	Jacksonville, FL 	2:25 AM ET	36	70	37	 Clear 	30.18	36	100	CLM	0
Fri Jan 29 08:44:47 2010	Columbus, OH 	2:25 AM ET	10	33	13	 Clear 	30.49	10	70	N	8
Fri Jan 29 08:44:49 2010	Dallas, TX 	2:25 AM ET	45	56	34	Rain 	30.03	48	87	NE	7
Fri Jan 29 08:44:51 2010	Houston, TX 	2:25 AM ET	64	70	57	Showers 	29.88	67	93	SE	12
Fri Jan 29 08:44:53 2010	Seattle, WA 	2:25 AM ET	50	53	40	 Clear 	30.02	52	49	SE	5
Fri Jan 29 08:44:55 2010	Milwaukee, WI 	2:25 AM ET	5	13	4	 Mostly Clear 	30.58	5	47	NW	6
Fri Jan 29 08:44:57 2010	Detroit, MI 	2:25 AM ET	8	23	11	 Clear 	30.46	8	63	WNW	5
Fri Jan 29 08:44:59 2010	Philadelphia, PA 	2:25 AM ET	18	48	17	 Clear 	30.3	18	41	WNW	15
Fri Jan 29 09:27:51 2010	San Jose, CA 	2:25 AM ET	48	60	43	 Intermittent Clouds 	30.06	51	89	CLM	0
Fri Jan 29 09:27:53 2010	Charlotte, NC 	2:25 AM ET	42	62	32	Cloudy 	30.18	43	50	N	5
Fri Jan 29 09:27:55 2010	San Diego, CA 	2:25 AM ET	56	65	51	 Mostly Clear 	30.08	62	80	CLM	0
Fri Jan 29 09:27:57 2010	Denver, CO 	2:25 AM ET	24	33	14	 Partly Cloudy 	30.18	24	88	S	6
Fri Jan 29 09:27:59 2010	Memphis, TN 	2:25 AM ET	33	51	31	Cloudy 	30.32	33	63	NE	16
Fri Jan 29 09:28:01 2010	Los Angeles, CA 	2:25 AM ET	57	68	50	 Clear 	30.06	61	74	CLM	0
Fri Jan 29 09:28:03 2010	El Paso, TX 	2:25 AM ET	33	52	37	Snow 	30.09	33	97	N	4
Fri Jan 29 09:28:05 2010	New York, NY 	2:25 AM ET	19	40	19	 Clear 	30.18	19	41	W	18
Fri Jan 29 09:28:07 2010	Baltimore, MD 	2:25 AM ET	21	47	22	 Partly Cloudy 	30.34	21	38	NNW	9
Fri Jan 29 09:28:09 2010	Las Vegas, NV 	2:25 AM ET	47	60	39	 Clear 	30.08	49	63	SSE	3
Fri Jan 29 09:28:10 2010	Washington, DC 	2:25 AM ET	24	54	22	 Partly Cloudy 	30.35	24	43	NNW	14
Fri Jan 29 09:28:12 2010	Austin, TX 	2:25 AM ET	59	68	42	Showers 	29.88	65	87	NNW	10
Fri Jan 29 09:28:15 2010	San Francisco, CA 	2:25 AM ET	51	57	47	Cloudy 	30.05	57	89	CLM	0
Fri Jan 29 09:28:16 2010	Oklahoma City, OK 	2:25 AM ET	28	33	20	Freezing Rain 	30.16	28	86	N	16
Fri Jan 29 09:28:18 2010	Nashville, TN 	2:25 AM ET	28	45	25	 Mostly Cloudy 	30.39	28	58	N	8
Fri Jan 29 09:28:20 2010	Fort Worth, TX 	2:25 AM ET	46	57	33	Rain 	30	49	88	NE	8
