17	www.findlocalweather.com									
(Timestamp)	(Location)	(Conditions)	Temp (°F)	Humidity (%)	(Wind Direction)	Wind Speed (mph)	Barometer (in.)	Dewpoint (°F)	Heat Index (°F) 	Wind Chill (°F)
Fri Jan 29 08:36:02 2010	 San Jose CA 	Mostly Cloudy	48	87	N/A		30.06	45	48	48
Fri Jan 29 08:36:03 2010	 Charlotte NC 	Clear	43	49	N	5	30.18	25	43	40
Fri Jan 29 08:36:04 2010	 San Diego CA 	Hazy	55	82	N/A		30.06	50	55	55
Fri Jan 29 08:36:05 2010	 Denver CO 	Mostly Cloudy	27	100	SSE	5	30.09	27	27	22
Fri Jan 29 08:36:06 2010	 Memphis TN 	Overcast	34	60	NE	16	30.3	21	34	24
Fri Jan 29 08:36:07 2010	 Los Angeles CA 	Clear	57	72	N/A		30.06	48	57	57
Fri Jan 29 08:36:08 2010	 El Paso TX 	Light Snow	30	93	N	13	30.09	28	30	21
Fri Jan 29 08:36:09 2010	 New York City NY 	Clear	19	42	W	18	30.18	N/A	19	5
Fri Jan 29 08:36:10 2010	 Baltimore MD 	Fair	23	36	N/A		30.33	N/A	23	23
Fri Jan 29 08:36:11 2010	 Las Vegas NV 	Clear	46	57	N	7	30.09	32	46	43
Fri Jan 29 08:36:12 2010	 Washington DC 	Partly Cloudy	25	42	NNW	14	30.33	5	25	14
Fri Jan 29 08:36:13 2010	 Austin TX 	Rain	55	94	NNW	10	29.91	54	55	53
Fri Jan 29 08:36:14 2010	 San Francisco CA 	Mostly Cloudy	48	87	E	7	30.06	45	48	46
Fri Jan 29 08:36:15 2010	 Oklahoma City OK 	Freezing Drizzle	28	86	N	16	30.15	25	28	17
Fri Jan 29 08:36:16 2010	 Nashville TN 	Mostly Cloudy	28	59	N	8	30.36	16	28	21
Fri Jan 29 08:36:17 2010	 Fort Worth TX 	Light Rain	48	87	N/A		30.06	45	48	48
Fri Jan 29 08:36:18 2010	 Phoenix AZ 	Mostly Cloudy	55	77	ESE	7	30.03	48	55	54
Fri Jan 29 08:36:19 2010	 Portland OR 	Overcast	48	62	ESE	13	30	36	48	43
Fri Jan 29 08:36:20 2010	 Chicago IL 	Partly Cloudy	7	56	NW	5	30.53	-6	7	-1
Fri Jan 29 08:36:21 2010	 San Antonio TX 	Overcast	66	94	SE	3	29.85	64	66	66
Fri Jan 29 08:36:21 2010	 Indianapolis IN 	Partly Cloudy	10	67	N	3	30.45	1	10	5
Fri Jan 29 08:36:22 2010	 Boston MA 	Clear	18	35	WNW	33	29.94	-6	18	-2
Fri Jan 29 08:36:23 2010	 Jacksonville FL 	Partly Cloudy	48	76	N/A		30.18	41	48	48
Fri Jan 29 08:36:24 2010	 Columbus OH 	Partly Cloudy	10	72	N	8	30.42	3	10	N/A
Fri Jan 29 08:36:25 2010	 Dallas TX 	Rain	43	93	W	5	30.06	41	43	40
Fri Jan 29 08:36:26 2010	 Houston TX 	Light Rain	64	94	SE	12	29.85	63	64	64
Fri Jan 29 08:36:27 2010	 Seattle WA 	Clear	46	62	SE	3	30	34	46	46
Fri Jan 29 08:36:29 2010	 Milwaukee WI 	Partly Cloudy	5	46	NW	6	30.5	-11	5	-5
Fri Jan 29 08:36:29 2010	 Detroit MI 	Clear	9	61	WNW	5	30.45	-2	9	1
Fri Jan 29 08:36:30 2010	 Philadelphia PA 	Clear	19	38	WNW	9	30.3	-2	19	10
Fri Jan 29 09:20:02 2010	 San Jose CA 	Mostly Cloudy	46	93	S	5	30.03	45	46	45
Fri Jan 29 09:20:02 2010	 Charlotte NC 	Clear	41	53	NE	5	30.18	25	41	38
Fri Jan 29 09:20:03 2010	 San Diego CA 	Fog And Mist	54	82	NW	5	30.09	48	54	53
Fri Jan 29 09:20:04 2010	 Denver CO 	Mostly Cloudy	27	100	NNE	3	30.09	27	27	23
Fri Jan 29 09:20:05 2010	 Memphis TN 	Overcast	32	64	ENE	14	30.3	21	32	23
Fri Jan 29 09:20:06 2010	 Los Angeles CA 	Clear	57	72	N/A		30.06	48	57	57
Fri Jan 29 09:20:07 2010	 El Paso TX 	Light Snow	30	93	N	10	30.12	28	30	22
Fri Jan 29 09:20:08 2010	 New York City NY 	Clear	18	45	W	14	30.21	N/A	18	5
Fri Jan 29 09:20:09 2010	 Baltimore MD 	Fair	21	35	N/A		30.36	-2	21	21
Fri Jan 29 09:20:10 2010	 Las Vegas NV 	Clear	46	57	SSE	6	30.09	32	46	44
Fri Jan 29 09:20:12 2010	 Washington DC 	Partly Cloudy	21	45	NNW	17	30.36	3	21	8
Fri Jan 29 09:20:13 2010	 Austin TX 	Rain	55	94	NNE	6	29.91	54	55	55
Fri Jan 29 09:20:14 2010	 San Francisco CA 	Mostly Cloudy	48	87	ESE	7	30.06	45	48	46
Fri Jan 29 09:20:15 2010	 Oklahoma City OK 	Freezing Drizzle	28	86	N	16	30.12	25	28	17
Fri Jan 29 09:20:17 2010	 Nashville TN 	Mostly Cloudy	28	59	NNE	10	30.36	16	28	20
Fri Jan 29 09:20:19 2010	 Fort Worth TX 	Light Rain	43	87	N/A		30.06	39	43	43
Fri Jan 29 09:20:20 2010	 Phoenix AZ 	Partly Cloudy	54	82	ESE	8	30.03	48	54	51
Fri Jan 29 09:20:21 2010	 Portland OR 	Overcast	46	66	E	9	30	36	46	42
Fri Jan 29 09:20:22 2010	 Chicago IL 	Partly Cloudy	7	51	NNW	10	30.5	-8	7	-7
