9	www2.foxnews.com											
(Timestamp)	(Location)	(Condition)	Feels Like	Barometer	Humidity (%)	Visibility	Dewpoint	(Wind Speed) (MPH)	Wind	Sunrise	Sunset	(Temperature) (°F)
Fri Jan 29 08:42:38 2010	San Jose, CA	Mostly Cloudy	48	1017.7	83	10	45	5	SE	7:14	5:28	50
Fri Jan 29 08:42:39 2010	Charlotte, NC	Cloudy 	42	1021.3	51	10	25	3	NNE	7:25	5:48	42
Fri Jan 29 08:42:39 2010	San Diego, CA	Partly Cloudy	57	1018.4	81	5	51	0	CALM	6:46	5:18	57
Fri Jan 29 08:42:40 2010	Edgewater, CO	Cloudy 	27	*	100	5	27	0	CALM	7:12	5:15	27
Fri Jan 29 08:42:41 2010	Memphis, TN	Cloudy 	22	1026.7	61	10	22	22	NE	7:02	5:25	34
Fri Jan 29 08:42:42 2010	Los Angeles, CA	Mostly Clear	58	1017.4	75	10	50	0	CALM	6:52	5:20	58
Fri Jan 29 08:42:43 2010	El Paso, TX	Snow Shower	20	1018.4	91	3	29	16	N	7:01	5:36	31
Fri Jan 29 08:42:44 2010	Manhattan, NY	Mostly Clear	6	1021.4	32	10	-2	13	WNW	7:10	5:08	19
Fri Jan 29 08:42:45 2010	Baltimore, MD	 	24	1026.2	30	999	2	*	*	7:17	5:22	24
Fri Jan 29 08:42:46 2010	Las Vegas, NV	Mostly Clear	42	1017.6	76	10	35	3	ESE	6:43	5:02	42
Fri Jan 29 08:42:47 2010	Washington, DC	Partly Cloudy	13	1026.8	35	10	5	14	NNW	7:18	5:25	25
Fri Jan 29 08:42:48 2010	Austin, TX	 	64	*	94	3	63	3	S	7:23	6:04	64
Fri Jan 29 08:42:49 2010	San Francisco, CA	Mostly Cloudy	51	1018.0	92	7	49	0	CALM	7:17	5:29	51
Fri Jan 29 08:42:50 2010	Oklahoma City, OK	Freezing Drizzle	18	1021.5	86	8	26	14	NNE	7:33	5:54	29
Fri Jan 29 08:42:51 2010	Nashville, TN	Mostly Cloudy	20	1028.6	46	10	14	10	NNE	6:50	5:09	29
Fri Jan 29 08:42:52 2010	Fort Worth, TX	 	43	1016.0	93	7	44	6	NNE	7:27	5:58	46
Fri Jan 29 08:42:52 2010	Phoenix, AZ	Mostly Cloudy	55	1016.1	83	10	50	8	ESE	7:27	5:56	55
Fri Jan 29 08:42:53 2010	Portland, OR	Cloudy 	43	1015.6	61	10	35	13	ESE	7:36	5:12	48
Fri Jan 29 08:42:54 2010	Chicago, IL	Partly Cloudy	0	1035.7	43	10	-7	5	N	7:07	5:00	8
Fri Jan 29 08:42:55 2010	San Antonio, TX	Rain 	66	1010.6	93	5	64	5	SW	7:25	6:09	66
Fri Jan 29 08:42:56 2010	Indianapolis, IN	Partly Cloudy	1	1033.0	64	10	1	5	NNE	7:56	5:59	9
Fri Jan 29 08:42:58 2010	Jacksonville, FL	Partly Cloudy	49	1022.0	74	10	41	0	CALM	7:19	6:00	49
Fri Jan 29 08:42:59 2010	Worthington, OH	Mostly Clear	-2	1032.3	68	10	3	8	NNW	7:44	5:46	10
Fri Jan 29 08:43:00 2010	Dallas, TX	 	36	1014.4	93	6	41	14	E	7:24	5:56	43
Fri Jan 29 08:43:00 2010	Houston, TX	Cloudy 	61	*	100	1.25	61	13	ESE	7:13	5:56	61
Fri Jan 29 08:43:01 2010	Seattle, WA	Mostly Clear	47	1015.7	59	10	33	3	SE	7:40	5:05	47
Fri Jan 29 08:43:02 2010	Milwaukee, WI	Partly Cloudy	-6	1034.5	40	10	-11	6	NW	7:11	4:59	5
Fri Jan 29 08:43:03 2010	Detroit, MI	Mostly Clear	-3	*	54	10	-3	7	WNW	7:50	5:41	8
Fri Jan 29 08:43:04 2010	Philadelphia, PA	Mostly Clear	4	1024.9	30	10	-3	16	NW	7:13	5:14	19
Fri Jan 29 09:26:33 2010	San Jose, CA	Mostly Cloudy	48	1017.7	89	10	45	0	CALM	7:14	5:28	48
Fri Jan 29 09:26:34 2010	Charlotte, NC	Mostly Clear	39	1021.8	51	10	25	5	N	7:25	5:48	42
Fri Jan 29 09:26:35 2010	San Diego, CA	Partly Cloudy	56	1018.3	80	5	50	0	CALM	6:46	5:18	56
Fri Jan 29 09:26:36 2010	Edgewater, CO	Mostly Cloudy	25	1022.9	82	8	21	3	SE	7:12	5:15	25
Fri Jan 29 09:26:37 2010	Memphis, TN	Cloudy 	23	1026.4	64	10	22	16	NE	7:02	5:25	33
Fri Jan 29 09:26:38 2010	Los Angeles, CA	Mostly Clear	57	1017.7	74	10	49	0	CALM	6:52	5:20	57
Fri Jan 29 09:26:39 2010	El Paso, TX	Snow Shower	21	1018.5	87	3	28	13	N	7:01	5:36	31
Fri Jan 29 09:26:40 2010	Manhattan, NY	Mostly Clear	4	1021.6	34	10	-1	18	W	7:10	5:08	19
