8	weather.msn.com											
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F)	Feels like (°F)	Barometer (in)	Dewpoint (°)	Humidity (%)	Visibility (miles)	Precip last hr (in)	Precip last 24 hrs (in)	(Wind Speed)	Wind (mph)
Fri Jan 29 08:45:00 2010	San Jose, CA (95112) 	Mostly Cloudy	48	48	30.1	45	87	10	NA	NA	0	
Fri Jan 29 08:45:01 2010	Charlotte, NC (28202) 	Winter storm warningClear	43	43	30.2	25	49	10	NA	NA	5	N
Fri Jan 29 08:45:01 2010	San Diego, CA (92102) 	Haze	55	55	30.1	50	82	5	NA	NA	0	
Fri Jan 29 08:45:02 2010	Denver, CO (80203) 	Mostly Cloudy	27	21	30.1	27	100	7	NA	0.02	5	SSE
Fri Jan 29 08:45:03 2010	Memphis, TN (38103) 	Weather WarningsCloudy	34	23	30.3	21	60	10	NA	NA	16	NE
Fri Jan 29 08:45:03 2010	Los Angeles, CA (90012) 	Clear	57	57	30.1	48	72	10	NA	NA	0	
Fri Jan 29 08:45:04 2010	El Paso, TX (79901) 	Weather WarningsSnow	30	21	30.1	27	86	4	0	0.14	11	N
Fri Jan 29 08:45:05 2010	New York, NY (10038) 	Special weather statementClear	19	NA	30.2	0	42	10	NA	NA	NA	
Fri Jan 29 08:45:06 2010	Baltimore, MD (21201) 	Partly Cloudy	21	10	30.3	0	38	10	NA	NA	9	NNW
Fri Jan 29 08:45:06 2010	Las Vegas, NV (89106) 	Clear	46	46	30.1	32	57	10	NA	0.31	7	N
Fri Jan 29 08:45:07 2010	Washington, DC (20001) 	Partly Cloudy	25	12	30.3	5	42	10	NA	NA	14	NNW
Fri Jan 29 08:45:07 2010	Austin, TX (78701) 	Weather WarningsT-storms	55	55	29.9	54	94	1	0.26	NA	8	WNW
Fri Jan 29 08:45:08 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	28	NA	30.2	25	86	6	0.03	NA	NA	
Fri Jan 29 08:45:08 2010	San Francisco, CA (94109) 	Mostly Cloudy	48	48	30	45	87	9	NA	NA	7	E
Fri Jan 29 08:45:09 2010	Nashville, TN (37203) 	Weather WarningsMostly Cloudy	28	21	30.4	16	59	10	NA	NA	8	N
Fri Jan 29 08:45:10 2010	Fort Worth, TX (76102) 	Weather WarningsRain	46	46	30	43	87	8	0.03	NA	8	NE
Fri Jan 29 08:45:10 2010	Phoenix, AZ (85004) 	Mostly Cloudy	55	55	30	48	76	10	NA	NA	7	ESE
Fri Jan 29 08:45:11 2010	Portland, OR (97205) 	Cloudy	48	48	30	36	61	10	NA	NA	13	ESE
Fri Jan 29 08:45:12 2010	San Antonio, TX (78207) 	Weather WarningsRain	59	59	29.8	57	94	10	NA	0.01	17	N
Fri Jan 29 08:45:12 2010	Chicago, IL (60610) 	Mostly Sunny	7	-2	30.5	-6	56	10	NA	NA	5	NW
Fri Jan 29 08:45:13 2010	Indianapolis, IN (46204) 	Partly Cloudy	10	5	30.5	1	67	10	NA	NA	3	N
Fri Jan 29 08:45:14 2010	Columbus, OH (43215) 	Mostly Sunny	10	-2	30.4	3	72	10	NA	NA	8	N
