12	www.myforecast.com		
(Timestamp)	(Location)	Current conditions	
Thu Jan 28 15:40:32 2010	 San Jose, CA	Ice, Snow Slide Into S. Plains: Ice along with significant snow is spreading across the Southern Plains this morning, likely knocking out power and making travel treacherous.Plains Storm Also Brings Thunderstorm ThreatIce Storms -- Nature's Middle ManToday's Weather Outlook:  Rain, ice and snow will batter the Southern Plains today while bitter cold air streams into the northern Plains and snow showers pour across the Great Lakes.A fresh blast of winter`s chill moving into the Great Lakes is the trigger for a round of lake-effect snow this evening through Friday.All Stories. 	
Fri Jan 29 08:43:06 2010	 San Jose, CA	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:08 2010	 Charlotte, NC	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:09 2010	 San Diego, CA		
Fri Jan 29 08:43:10 2010	 Denver, CO	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:11 2010	 Memphis, TN	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:13 2010	 Los Angeles, CA	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:15 2010	 El Paso, TX	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:16 2010	 New York, NY	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:18 2010	 Baltimore, MD		
Fri Jan 29 08:43:20 2010	 Las Vegas, NV	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:22 2010	 Washington, DC		
Fri Jan 29 08:43:23 2010	 Austin, TX	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:26 2010	 San Francisco, CA		
Fri Jan 29 08:43:28 2010	 Oklahoma City, OK	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:32 2010	 Nashville, TN	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
Fri Jan 29 08:43:33 2010	 Fort Worth, TX		
Fri Jan 29 08:43:35 2010	 Phoenix, AZ	Ice, Snow Targeting Mid-South:  A winter storm is bringing heavy snow and ice from New Mexico to Oklahoma, and will continue to spread eastward on Friday.1:15 AM CST UPDATE: "Solid Sheet of Ice"Heavy Rain & Thunderstorms Pummeling TexasIce Storms -- Nature's Middle ManToday's Weather Outlook: A mix of snow, ice and rain will slide across the Deep South, while cold arctic air continues to grip the Great Lakes and showers push onshore along the West Coast.Weekend Weather Outlook: Stormy weather will invade the Pacific Northwest this weekend, with much of the rest of the U.S. cold and dry.All Stories. 	
