5	www.nytimes.com							
(Timestamp)	(Location)	(Temperature) (°F °C)	(Conditions)	Humidity (%)	Barometer (in)	Visibility (mi)	(Wind Speed) (mph)	Wind
Fri Jan 29 08:48:49 2010	San Jose	46 8 	Mostly Cloudy	90	30.06	7	2	E
Fri Jan 29 08:48:50 2010	Charlotte	42 6 	Cloudy	50	30.18	10	5	N
Fri Jan 29 08:48:51 2010	San Diego	53 12 	Clear	85	30.06	5	3	NE
Fri Jan 29 08:48:52 2010	Denver	24 -4 	Partly Cloudy	88	30.18	5	6	S
Fri Jan 29 08:48:52 2010	Memphis	33 1 	Cloudy	63	30.32	10	16	NE
Fri Jan 29 08:48:53 2010	Los Angeles	52 11 	Clear	71	30.04	10	0	CLM
Fri Jan 29 08:48:54 2010	El Paso	30 -1 	Light Snow/Fog	86	30.11	4	12	N
Fri Jan 29 08:48:55 2010	New York	19 -7 	Clear	41	30.18	10	18	W
Fri Jan 29 08:48:56 2010	Baltimore	21 -6 	Partly Cloudy	38	30.34	10	9	NNW
Fri Jan 29 08:48:56 2010	Las Vegas	47 8 	Clear	63	30.08	10	3	SSE
Fri Jan 29 08:48:57 2010	Washington	24 -4 	Partly Cloudy	43	30.35	10	14	NNW
Fri Jan 29 08:48:58 2010	Austin	57 14 	Rain	93	29.89	6	22	N
Fri Jan 29 08:48:59 2010	San Francisco	49 9 	Mostly Cloudy	89	30.06	6	3	NNE
Fri Jan 29 08:49:00 2010	Oklahoma City	28 -2 	Light Freezing Drizzle	86	30.16	6	16	N
Fri Jan 29 08:49:01 2010	Fort Worth	45 7 	Rain	87	30.03	5	7	NE
Fri Jan 29 08:49:01 2010	Nashville	28 -2 	Cloudy	58	30.39	10	8	N
Fri Jan 29 08:49:02 2010	Phoenix	53 12 	Cloudy	79	30.04	10	7	ESE
Fri Jan 29 08:49:03 2010	Portland	46 8 	Clear	70	30	10	20	E
Fri Jan 29 08:49:04 2010	Chicago	14-Jul	Mostly Clear	57	30.6	10	5	NW
Fri Jan 29 08:49:05 2010	Indianapolis	13-Sep	Cloudy	76	30.48	7	3	NNW
Fri Jan 29 08:49:05 2010	San Antonio	58 14 	Thunderstorm	87	29.9	8	10	N
Fri Jan 29 08:49:06 2010	Boston	18 -8 	Clear	35	29.95	10	33	WNW
Fri Jan 29 08:49:07 2010	Jacksonville	42 6 	Mostly Clear	85	30.19	9	0	CLM
Fri Jan 29 08:49:08 2010	Columbus	12-Nov	Mostly Clear	70	30.49	10	8	N
Fri Jan 29 08:49:09 2010	Dallas	43 6 	Rain	93	30.03	6	6	NE
