1	www.uswx.com													
(Timestamp)	(Location)	(City & Timestamp)	Temperature (°F °C)	Dew Point (°F °C)	Humidity (%)	Pressure (in mb)	Wind Speed (MPH kts) 	Wind Dir	Ceiling (ft m)	Visibility (mi km)	Wind Chill (°F °C)	Conditions	Remarks	TypeIssue TimeExpire TimeExpires  
Fri Jan 29 08:45:21 2010	San Jose (95101)	San Jose, CA (KSJC) as of 10:53pm PST (52 mago)	48 9 	45 7 	89	30.05 1017.7 	Calm Calm	--	 18000 5486	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 08:45:23 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 1:52am EST (53 mago)	42 6 	25 -4 	50	30.17 1021.8 	5 4 	N350	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	Winter Storm Warning Thu, Jan 28, 10:16pm EST Fri, Jan 29, 7:00am EST 4 hrs, 14 minsNational Weather Service 
Fri Jan 29 08:45:25 2010	San Diego (92101)	San Diego, CA (KSAN) as of 10:51pm PST (54 mago)	56 13 	50 10 	80	30.07 1018.3 	Calm Calm	--	 Unlimited Unlimited	5 8.0	--	 Haze	No  this hour.	
Fri Jan 29 08:45:27 2010	Denver (80214)	Aurora, CO (KBKF) as of 11:55pm MST (50 mago)	27 -3 	26 -3 	100	30.17 1021.6 	5 4 	SSE160	 2200 671	7 11.3	21 -6 	Mostly Cloudy	No  this hour.	
Fri Jan 29 08:45:29 2010	Memphis (37501)	Memphis, TN (KMEM) as of 12:53am CST (52 mago)	33 1 	21 -6 	63	30.31 1026.4 	16 G 2314 G 20	NE50	 10000 3048	10 16.1	23 -5 	Cloudy	Peak Wind: 27 kts from 0	Winter Storm Warning Thu, Jan 28, 8:42pm CST Fri, Jan 29, 6:00am CST 4 hrs, 14 minsNational Weather Service Forecast 
Fri Jan 29 08:45:31 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 10:53pm PST (52 mago)	56 13 	50 10 	80	30.06 1017.8 	3 3 	NE40	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 08:45:33 2010	El Paso (79901)	El Paso, TX (KELP) as of 12:19am MST (26 mago)	30 -1 	26 -3 	86	30.09 1019 	12 10 	N10	 3000 914	4 6.4	21 -6 	Light Snow, Mist	Trace precipitation last hour.	Winter Weather Advisory Thu, Jan 28, 2:56pm MST Fri, Jan 29, 5:00am MST 4 hrs, 14 minsNational Weather Service 
Fri Jan 29 08:45:35 2010	New York (10001)	New York City, NY (KNYC) as of 1:51am EST (54 mago)	19 -7 	0 -18 	41	30.17 1021.6 	18 G 2516 G 22	W270	 Unlimited Unlimited	10 16.1	16-Apr	Clear	Lightning detector not working.	Special Weather Statement Thu, Jan 28, 10:14pm EST Fri, Jan 29, 4:15am EST 1 hr, 29 mins  Special Weather Statement Fri, Jan 29, 2:38am EST Fri, Jan 29, 9:00am EST 6 hrs, 14 minsNational Weather Service 
Fri Jan 29 08:45:37 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 1:54am EST (51 mago)	21 -6 	0 -18 	38	30.32 1026.9 	9 G 178 G 15	NNW330	 Unlimited Unlimited	10 16.1	12-Nov	Mostly Clear	No  this hour.	
Fri Jan 29 08:45:39 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 10:53pm PST (52 mago)	46 8 	32 0 	58	30.07 1018.4 	7 6 	N350	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Fri Jan 29 08:45:41 2010	Washington (20001)	Washington DC, VA (KDCA) as of 1:52am EST (53 mago)	24 -4 	15-May	44	30.33 1027.2 	14 12 	NNW330	 Unlimited Unlimited	10 16.1	11-Dec	Mostly Clear	No  this hour.	
Fri Jan 29 08:45:43 2010	Aust(73301)	AustCity, TX (KATT) as of 1:29am CST (16 mago)	55 13 	53 12 	94	29.94 1014 	8 7 	WNW300	 3400 1036	1.5 2.4	--	Heavy Thunderstorm, Rain, Mist	Pressure rising rapidly. 0.2	Flood Statement Thu, Jan 28, 11:53pm CST Fri, Jan 29, 2:45am CST 59 minsNational Weather Service Forecast 
Fri Jan 29 08:45:45 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 10:56pm PST (49 mago)	51 11 	48 9 	89	30.04 1017.3 	Calm Calm	--	 18000 5486	6 9.7	--	 Mist	No  this hour.	
Fri Jan 29 08:45:47 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 1:03am CST (42 mago)	28 -2 	24 -4 	86	30.15 1021 	16 14 	N10	 700 213	6 9.7	17 -8 	Light Freezing Drizzle, Mist	0.03" of precipitation last hour.	Winter Storm Warning Thu, Jan 28, 8:26pm CST Fri, Jan 29, 5:00am CST 3 hrs, 14 minsNational Weather Service 
Fri Jan 29 08:45:48 2010	Nashville (37201)	Nashville, TN (KBNA) as of 12:53am CST (52 mago)	28 -2 	15 -9 	58	30.37 1028.6 	8 7 	N10	 13000 3962	10 16.1	20 -7 	Mostly Cloudy	No  this hour.	Winter Storm Warning Thu, Jan 28, 3:36pm CST Fri, Jan 29, 4:00am CST 2 hrs, 14 minsNational Weather Service Forecast 
Fri Jan 29 08:45:50 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 12:53am CST (52 mago)	46 8 	43 6 	89	30.00 1015.8 	8 7 	NE40	 1600 488	8 12.9	--	 Rain	0.03" of precipitation last hour.	
Fri Jan 29 08:45:52 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 11:51pm MST (54 mago)	55 13 	48 9 	80	30.01 1016.2 	7 6 	ESE110	 6500 1981	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 08:45:54 2010	Portland (97201)	Portland, OR (KPDX) as of 10:53pm PST (52 mago)	48 9 	35 2 	60	29.99 1015.7 	13 11 	ESE110	 15000 4572	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 08:45:56 2010	Chicago (60601)	Chicago, IL (KMDW) as of 12:51am CST (54 mago)	14-Jul	-5 -21 	57	30.59 1035.8 	5 4 	NW320	 Unlimited Unlimited	10 16.1	-2 -19 	Few Clouds	No  this hour.	
Fri Jan 29 08:45:58 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 1:27am CST (18 mago)	57 14 	53 12 	88	29.91 1013 	12 10 	N360	 2400 732	5 8.0	--	Light Rain, Mist	Trace precipitation last hour.	Flood Statement Thu, Jan 28, 11:53pm CST Fri, Jan 29, 2:45am CST 59 minsNational Weather Service Forecast 
