6	www.washingtonpost.com							
(Timestamp)	(Location)	Condition	Temperature (F C)	RealFeel® (F C)	(Wind Speed) (mph)	Wind	Barometer	Humidity (%)
Fri Jan 29 08:40:53 2010	SAN JOSE, CA	Intermittent Clouds	48 9	51 11	0	CLM	30.06	89
Fri Jan 29 08:40:54 2010	CHARLOTTE, NC	Cloudy	42 6	41 5	5	N	30.18	50
Fri Jan 29 08:40:55 2010	SAN DIEGO, CA	Mostly Clear	56 13	58 14	0	CLM	30.07	80
Fri Jan 29 08:40:56 2010	DENVER, CO	Cloudy	26 -3	31 -1	3	SE	30.17	83
Fri Jan 29 08:40:57 2010	MEMPHIS, TN	Cloudy	33 1	18 -8	16	NE	30.31	63
Fri Jan 29 08:40:59 2010	LOS ANGELES, CA	Clear	57 14	59 15	0	CLM	30.06	74
Fri Jan 29 08:41:00 2010	EL PASO, TX	Flurries	30 -1	16 -9	12	N	30.10	86
Fri Jan 29 08:41:01 2010	NEW YORK, NY	Clear	19 -7	-2 -19	18	W	30.17	41
Fri Jan 29 08:41:02 2010	BALTIMORE, MD	Partly Cloudy	21 -6	12-Oct	9	NNW	30.33	38
Fri Jan 29 08:41:03 2010	LAS VEGAS, NV	Clear	47 8	47 8	3	SSE	30.07	63
Fri Jan 29 08:41:04 2010	WASHINGTON, DC	Partly Cloudy	24 -4	13-Sep	14	NNW	30.34	43
Fri Jan 29 08:41:05 2010	AUSTIN, TX	Showers	59 15	51 11	10	NNW	29.87	87
Fri Jan 29 08:41:06 2010	SAN FRANCISCO, CA	Cloudy	51 11	54 12	0	CLM	30.04	89
Fri Jan 29 08:41:07 2010	OKLAHOMA CITY, OK	Freezing Rain	28 -2	12-Nov	16	N	30.15	86
Fri Jan 29 08:41:08 2010	NASHVILLE, TN	Cloudy	28 -2	20 -7	8	N	30.38	58
Fri Jan 29 08:41:09 2010	FORT WORTH, TX	Rain	46 8	37 3	8	NE	30.00	88
Fri Jan 29 08:41:10 2010	PHOENIX, AZ	Cloudy	55 13	52 11	7	ESE	30.01	79
Fri Jan 29 08:41:11 2010	PORTLAND, OR	Cloudy	48 9	40 4	13	ESE	30.00	60
Fri Jan 29 08:41:12 2010	CHICAGO, IL	Mostly Clear	14-Jun	0 -18	6	NNW	30.56	57
Fri Jan 29 08:41:13 2010	SAN ANTONIO, TX	Showers	57 14	45 7	21	N	29.89	87
Fri Jan 29 08:41:14 2010	INDIANAPOLIS, IN	Cloudy	12-Oct	12-Oct	3	N	30.50	66
Fri Jan 29 08:41:15 2010	BOSTON, MA	Clear	18 -8	-11 -24	33	WNW	29.94	35
Fri Jan 29 08:41:16 2010	JACKSONVILLE, FL	Clear	36 2	41 5	0	CLM	30.17	100
Fri Jan 29 08:41:17 2010	COLUMBUS, OH	Mostly Clear	12-Nov	17-Jan	8	N	30.48	70
Fri Jan 29 08:41:19 2010	DALLAS, TX	Rain	45 7	38 3	7	NE	30.02	87
Fri Jan 29 08:41:20 2010	HOUSTON, TX	Rain	63 17	53 12	20	SE	29.86	93
Fri Jan 29 08:41:21 2010	SEATTLE, WA	Intermittent Clouds	49 9	42 6	12	ESE	30.02	49
Fri Jan 29 08:41:22 2010	MILWAUKEE, WI	Mostly Clear	15-May	-1 -18	6	NW	30.57	47
Fri Jan 29 08:41:23 2010	DETROIT, MI	Clear	13-Aug	0 -18	7	WNW	30.50	63
Fri Jan 29 08:41:24 2010	PHILADELPHIA, PA	Clear	20 -7	13-Sep	9	WNW	30.30	36
Fri Jan 29 09:24:47 2010	SAN JOSE, CA	Intermittent Clouds	47 8	46 8	5	S	30.03	89
Fri Jan 29 09:24:48 2010	CHARLOTTE, NC	Clear	41 5	39 4	5	NE	30.19	52
Fri Jan 29 09:24:50 2010	SAN DIEGO, CA	Intermittent Clouds	53 12	52 11	5	NW	30.08	85
Fri Jan 29 09:24:51 2010	DENVER, CO	Mostly Cloudy	26 -3	30 -1	3	SSE	30.17	84
Fri Jan 29 09:24:52 2010	MEMPHIS, TN	Cloudy	32 0	19 -7	14	ENE	30.30	66
Fri Jan 29 09:24:53 2010	LOS ANGELES, CA	Clear	57 14	59 15	0	CLM	30.05	71
Fri Jan 29 09:24:54 2010	EL PASO, TX	Flurries	30 -1	18 -8	10	N	30.10	92
