10	 weather.weatherbug.com									
(Timestamp)	(Location)	Temp (°F)	(Wind Speed) (mph)	Lo (°F)	Rain (")	Hi (°F)	Gust	Wind Chill (°F)	Humidity (%)	Dew Point (°F)
Fri Jan 29 08:47:45 2010	San Jose, CA 95101  	48.0	0	45	0.00	58	NNW 6	48	88	45
Fri Jan 29 08:47:47 2010	Charlotte, NC 28201  	42.5	4	42	0.00	45	ENE 7	40	51	26
Fri Jan 29 08:47:49 2010	San Diego, CA 92101  	53.5	0	49	0.00	65	WNW 11	54	96	53
Fri Jan 29 08:47:51 2010	Denver, CO 80214  	24.5	0	25	0.00	25	WSW 0	25	96	24
Fri Jan 29 08:47:53 2010	Memphis, TN 37501  	33.1	16	33	0.00	33	NNE 23	23	61	21
Fri Jan 29 08:47:56 2010	Los Angeles, CA 90001  	54.2	0	46	0.00	70	W 15	54	81	49
Fri Jan 29 08:47:58 2010	El Paso, TX 79901  	31.6	7	32	0.00	32	E 15	25	88	29
Fri Jan 29 08:48:00 2010	New York, NY 10001  	17.9	1	17	0.00	20	NNW 24	18	48	1
Fri Jan 29 08:48:03 2010	Baltimore, MD 21201  	17.9	7	18	0.00	22	NW 17	8	41	-2
Fri Jan 29 08:48:05 2010	Las Vegas, NV 89101  	43.5	1	40	0.00	58	NNW 21	44	61	31
Fri Jan 29 08:48:07 2010	Washington, DC 20001  	19.5	11	19	0.00	24	NNW 21	8	49	3
Fri Jan 29 08:48:09 2010	Austin, TX 73301  	59.0	10	59	0.60	64	NNW 22	57	88	55
Fri Jan 29 08:48:11 2010	San Francisco, CA 94101  	49.4	4	48	0.00	56	WNW 12	48	N/A	--
Fri Jan 29 08:48:13 2010	Oklahoma City, OK 73101  	26.6	16	27	0.00	27	NNE 17	14	93	25
Fri Jan 29 08:48:16 2010	Nashville, TN 37201  	29.6	8	29	0.00	30	NNW 14	22	60	17
Fri Jan 29 08:48:18 2010	Fort Worth, TX 76101  	43.1	6	43	0.16	46	N 13	39	100	43
Fri Jan 29 08:48:20 2010	Phoenix, AZ 85001  	53.3	2	53	0.00	54	ENE 11	53	76	46
Fri Jan 29 08:48:22 2010	Portland, OR 97201  	46.7	1	45	0.00	52	NE 17	47	65	36
Fri Jan 29 08:48:25 2010	Chicago, IL 60601  	6.4	5	6	0.00	8	NW 12	-3	53	-8
Fri Jan 29 08:48:27 2010	San Antonio, TX 78201  	51.6	5	52	0.12	63	WNW 27	50	100	52
Fri Jan 29 08:48:29 2010	Indianapolis, IN 46201  	11.7	0	11	0.00	12	NNW 6	12	78	6
Fri Jan 29 08:48:31 2010	Boston, MA 02101  	13.1	14	13	0.00	18	WNW 38	-2	34	-11
Fri Jan 29 08:48:34 2010	Jacksonville, FL 32099  	48.9	0	49	0.00	49	NNE 0	49	76	42
Fri Jan 29 08:48:36 2010	Columbus, OH 43085  	9.4	2	9	N/A	12	NNE 9	9	N/A	--
Fri Jan 29 08:48:38 2010	Dallas, TX 75201  	43.5	4	43	0.13	44	ESE 16	41	98	43
Fri Jan 29 08:48:40 2010	Houston, TX 77001  	60.8	6	58	0.06	61	SE 21	61	98	60
Fri Jan 29 08:48:42 2010	Seattle, WA 98101  	47.3	2	43	0.00	54	SSW 12	47	70	38
Fri Jan 29 08:48:44 2010	Milwaukee, WI 53201  	1.1	1	1	0.00	2	WNW 9	1	65	-8
Fri Jan 29 08:48:46 2010	Detroit, MI 48201  	6.6	6	7	0.00	8	W 13	-4	71	-1
Fri Jan 29 08:48:48 2010	Philadelphia, PA 19019  	18.1	7	18	0.00	20	NW 25	8	46	0
Fri Jan 29 09:31:55 2010	San Jose, CA 95101  	48.0	0	45	0.00	58	NNW 6	48	88	45
Fri Jan 29 09:31:56 2010	Charlotte, NC 28201  	42.5	4	42	0.00	45	ENE 7	40	51	26
Fri Jan 29 09:31:57 2010	San Diego, CA 92101  	53.5	0	49	0.00	65	WNW 11	54	96	53
Fri Jan 29 09:31:57 2010	Denver, CO 80214  	24.5	0	25	0.00	25	WSW 0	25	96	24
Fri Jan 29 09:31:58 2010	Memphis, TN 37501  	33.1	16	33	0.00	33	NNE 23	23	61	21
Fri Jan 29 09:31:59 2010	El Paso, TX 79901  	31.6	7	32	0.00	32	E 15	25	88	29
Fri Jan 29 09:31:59 2010	Los Angeles, CA 90001  	54.2	0	46	0.00	70	W 15	54	81	49
Fri Jan 29 09:32:00 2010	New York, NY 10001  	17.9	1	17	0.00	20	NNW 24	18	48	1
Fri Jan 29 09:32:01 2010	Baltimore, MD 21201  	17.9	7	18	0.00	22	NW 17	8	41	-2
Fri Jan 29 09:32:02 2010	Las Vegas, NV 89101  	43.5	1	40	0.00	58	NNW 21	44	61	31
Fri Jan 29 09:32:03 2010	Washington, DC 20001  	19.5	11	19	0.00	24	NNW 21	8	49	3
Fri Jan 29 09:32:04 2010	Austin, TX 73301  	59.0	10	59	0.60	64	NNW 22	57	88	55
Fri Jan 29 09:32:04 2010	San Francisco, CA 94101  	49.4	4	48	0.00	56	WNW 12	48	N/A	--
Fri Jan 29 09:32:05 2010	Oklahoma City, OK 73101  	26.6	16	27	0.00	27	NNE 17	14	93	25
Fri Jan 29 09:32:06 2010	Nashville, TN 37201  	29.6	8	29	0.00	30	NNW 14	22	60	17
Fri Jan 29 09:32:07 2010	Phoenix, AZ 85001  	53.3	2	53	0.00	54	ENE 11	53	76	46
Fri Jan 29 09:32:07 2010	Fort Worth, TX 76101  	43.1	6	43	0.16	46	N 13	39	100	43
Fri Jan 29 09:32:08 2010	Portland, OR 97201  	46.7	1	45	0.00	52	NE 17	47	65	36
Fri Jan 29 09:32:09 2010	Chicago, IL 60601  	6.4	5	6	0.00	8	NW 12	-3	53	-8
Fri Jan 29 09:32:10 2010	Indianapolis, IN 46201  	11.7	0	11	0.00	12	NNW 6	12	78	6
Fri Jan 29 09:32:10 2010	San Antonio, TX 78201  	51.6	5	52	0.12	63	WNW 27	50	100	52
Fri Jan 29 09:32:11 2010	Boston, MA 02101  	13.1	14	13	0.00	18	WNW 38	-2	34	-11
Fri Jan 29 09:32:12 2010	Jacksonville, FL 32099  	48.9	0	49	0.00	49	NNE 0	49	76	42
Fri Jan 29 09:32:13 2010	Dallas, TX 75201  	43.5	4	43	0.13	44	ESE 16	41	98	43
Fri Jan 29 09:32:13 2010	Columbus, OH 43085  	9.4	2	9	N/A	12	NNE 9	9	N/A	--
Fri Jan 29 09:32:14 2010	Houston, TX 77001  	60.8	6	58	0.06	61	SE 21	61	98	60
