3	www.weatherforyou.com										
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Humidity (%)	Wind	(Wind Speed) (MPH)	Wind Gusts (MPH)	Barometer (in.)	Dewpoint (°F)	Wind Chill (°F)	Visibility (SM/Miles)
Fri Jan 29 08:41:38 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 46 8 	83	Calm		 	30.02	41		
Fri Jan 29 08:41:40 2010	Charlotte, North Carolina, United States (28201)	 Clear	 39 4 	70	Calm		 	30.15	30		
Fri Jan 29 08:41:41 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 11 	91	Calm		 	30.24	50		
Fri Jan 29 08:41:42 2010	Denver, Colorado, United States (80214)	 Mist	 29 -1 	80	Calm		 	30.46	24	26	
Fri Jan 29 08:41:43 2010	Memphis, Tennessee, United States (37501)	 Overcast	 34 1 	60	NE	16	23	30.30	21	24	10
Fri Jan 29 08:41:44 2010	Los Angeles, California, United States (90001)	 Clear	 57 14 	72	Calm		 	30.06	48		10
Fri Jan 29 08:41:46 2010	El Paso, Texas, United States (79901)	 Snow	 30 -1 	86	N	12		30.09	27	22	4
Fri Jan 29 08:41:47 2010	New York, New York, United States (10001)	 Clear	 19 -7 	42	W	18	25	30.18	N/A	5	10
Fri Jan 29 08:41:48 2010	Baltimore, Maryland, United States (21201)	 Partly Cloudy	 21 -6 	38	NNW	9	17	30.33	N/A	12	10
Fri Jan 29 08:41:49 2010	Las Vegas, Nevada, United States (89101)	 Clear	 42 6 	78	Calm		 	30.12	36	41	
Fri Jan 29 08:41:50 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 25 -4 	42	NNW	14		30.33	5	14	10
Fri Jan 29 08:41:51 2010	Austin, Texas, United States (73301)	 Heavy Rain	 55 13 	97	W	14	23	29.93	55	54	
Fri Jan 29 08:41:52 2010	San Francisco, California, United States (94101)	 Mist	 52 11 	88	Calm		 	30.03	48		6
Fri Jan 29 08:41:54 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 30 -1 	86	NNW	6	13	30.20	26	24	
Fri Jan 29 08:41:55 2010	Nashville, Tennessee, United States (37201)	 Mostly Cloudy	 28 -2 	59	N	8		30.36	16	21	10
Fri Jan 29 08:41:56 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 48 9 	87	Calm		 	30.06	45		6
Fri Jan 29 08:41:57 2010	Phoenix, Arizona, United States (85001)	 Overcast	 52 11 	82	Calm		 	30.02	47		
Fri Jan 29 08:41:59 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	64	N	9	15	29.96	35	43	
Fri Jan 29 08:42:00 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 7 -14 	56	NW	5		30.53	-6	-1	10
