18	igoogle.wunderground.com										
(Timestamp)	(Location)	(Temperature) (°F)	(Conditions)	Humidity (%)	(Wind Speed)	Wind (variable)	Visibility (miles)	Dew Point (°F)	Precipitation (% Chance of Rain)	Air quality	Pressure (in)
Fri Jan 29 08:40:16 2010	San Jose, California (95101) 	46.0	Mostly Cloudy	94	Calm		10.0	44	0	Moderate 	30.03
Fri Jan 29 08:40:17 2010	Charlotte, North Carolina (28201) 	40.7	Overcast	62	Calm		10.0	29	0	Good 	30.22
Fri Jan 29 08:40:18 2010	San Diego, California (92101) 	52.5	Haze	91	Calm		5.0	50	0	Moderate 	30.24
Fri Jan 29 08:40:20 2010	Denver, Colorado (80002) 	23.5	Mostly Cloudy	86	Calm		8.0	20	32	Moderate 	30.25
Fri Jan 29 08:40:21 2010	Memphis, Tennessee (37501) 	32.7	Overcast	31	Calm		10.0	6	13	Good 	30.50
Fri Jan 29 08:40:22 2010	Los Angeles, California (90001) 	56.7	Clear	75	1.0	NE	10.0	49	0		30.05
Fri Jan 29 08:40:24 2010	El Paso, Texas (79821) 	34.0	Light Snow Mist	80	6.0	NNW	4.0	28	73	Good 	30.24
Fri Jan 29 08:40:25 2010	New York, New York (10001) 	19.1	Clear	47	8.0	NW	10.0	2	88	Good 	30.24
Fri Jan 29 08:40:26 2010	Baltimore, Maryland (21201) 	21.4	Scattered Clouds	48	2.0	SSW	10.0	5	14	Good 	30.36
Fri Jan 29 08:40:27 2010	Las Vegas, Nevada (89044) 	43.2	Clear	58	Calm		10.0	29	3	Good 	30.00
Fri Jan 29 08:40:29 2010	Washington, District of Columbia (20001) 	22.5	Scattered Clouds	46	10.0	NNW	10.0	5	14	Good 	30.34
Fri Jan 29 08:40:30 2010	Austin, Texas (78701) 	59.2	Heavy Thunderstorm Rain Mist	85	Calm		1.5	55	100	Good 	29.38
Fri Jan 29 08:40:31 2010	San Francisco, California (94101) 	50.3	Overcast	85	1.0	ESE	6.0	46	0	Moderate 	30.04
Fri Jan 29 08:40:32 2010	Oklahoma City, Oklahoma (73101) 	27.1	Light Freezing Rain Mist	76	6.0	NNE	6.0	21	100		28.76
Fri Jan 29 08:40:34 2010	Nashville, Tennessee (37201) 	29.2	Mostly Cloudy	57	12.0	WNW	10.0	16	10	Good 	30.35
Fri Jan 29 08:40:35 2010	Fort Worth, Texas (76101) 	45.3	Rain	95	1.0	North	8.0	44	100	Good 	30.01
Fri Jan 29 08:40:36 2010	Phoenix, Arizona (85001) 	54.6	Mostly Cloudy	77	6.0	ENE	10.0	48	23		30.01
Fri Jan 29 08:40:37 2010	Portland, Oregon (97201) 	43.9	Overcast	69	2.0	NNE	10.0	34	6	Good 	29.94
Fri Jan 29 08:40:39 2010	Chicago, Illinois (60290) 	9.3	Partly Cloudy	45	1.0	West	10.0	-8	0	Good 	30.54
Fri Jan 29 08:40:40 2010	San Antonio, Texas (78201) 	58.3	Light Rain Mist	81	6.9	NNW	5.0	53	100	Good 	29.79
Fri Jan 29 08:40:41 2010	Indianapolis, Indiana (46201) 	11.0	Scattered Clouds	72	Calm		10.0	4	0	Good 	30.51
Fri Jan 29 08:40:42 2010	Boston, Massachusetts (02101) 	18.0	Clear	37	25.0	WNW	10.0	-4	91		29.94
Fri Jan 29 08:40:43 2010	Jacksonville, Florida (32099) 	43.3	Scattered Clouds	90	Calm		10.0	41	0	Good 	30.17
Fri Jan 29 08:40:45 2010	Columbus, Ohio (43085) 	9.2	Clear	77	1.0	NNW	10.0	3	10	Good 	30.50
Fri Jan 29 08:40:46 2010	Dallas, Texas (75201) 	42.2	Light Rain Mist	91	5.0	North	6.0	40	100	Good 	30.06
Fri Jan 29 08:40:47 2010	Houston, Texas (77001) 	62.9	Light Rain	96	6.0	SSE	9.0	62	22	Good 	29.79
Fri Jan 29 08:40:48 2010	Seattle, Washington (98101) 	47.5	Clear	60	1.0	SW	10.0	34	11	Unhealthy for Sensitive Groups 	29.99
Fri Jan 29 08:40:50 2010	Milwaukee, Wisconsin (53201) 	3.9	Partly Cloudy	52	Calm		10.0	-10	0		30.65
Fri Jan 29 08:40:51 2010	Detroit, Michigan (48201) 	9.1	Clear	68	2.0	West	10.0	1	30	Good 	30.46
Fri Jan 29 08:40:52 2010	Philadelphia, Pennsylvania (19019) 	18.2	Clear	47	1.0	WNW	10.0	1	46	Good 	30.31
Fri Jan 29 09:24:09 2010	San Jose, California (95101) 	45.0	Mostly Cloudy	97	Calm		10.0	44	0	Moderate 	30.03
Fri Jan 29 09:24:10 2010	Charlotte, North Carolina (28201) 	41.3	Clear	56	Calm		10.0	27	0	Good 	30.22
Fri Jan 29 09:24:12 2010	San Diego, California (92101) 	52.9	Mostly Cloudy	91	Calm		5.0	50	0	Moderate 	30.24
Fri Jan 29 09:24:13 2010	Denver, Colorado (80002) 	24.4	Mostly Cloudy	89	Calm		6.0	22	32	Moderate 	30.26
Fri Jan 29 09:24:14 2010	Memphis, Tennessee (37501) 	32.4	Overcast	31	Calm		10.0	5	13	Good 	30.47
Fri Jan 29 09:24:15 2010	Los Angeles, California (90001) 	56.2	Clear	74	Calm		10.0	48	0		30.04
Fri Jan 29 09:24:16 2010	El Paso, Texas (79821) 	34.3	Light Snow Mist	78	9.2	NNE	4.0	28	73	Good 	30.21
Fri Jan 29 09:24:18 2010	New York, New York (10001) 	18.9	Clear	46	2.0	WNW	10.0	2	88	Good 	30.25
Fri Jan 29 09:24:19 2010	Baltimore, Maryland (21201) 	20.7	Scattered Clouds	46	2.0	NNW	10.0	3	14	Good 	30.38
Fri Jan 29 09:24:20 2010	Las Vegas, Nevada (89044) 	43.2	Clear	58	Calm		10.0	29	3	Good 	29.98
Fri Jan 29 09:24:22 2010	Washington, District of Columbia (20001) 	21.9	Scattered Clouds	45	13.0	NW	10.0	4	14	Good 	30.36
Fri Jan 29 09:24:23 2010	Austin, Texas (78701) 	58.3	Rain Mist	83	Calm		5.0	53	100	Good 	29.32
Fri Jan 29 09:24:24 2010	San Francisco, California (94101) 	50.3	Mostly Cloudy	86	Calm		7.0	46	0	Moderate 	30.04
Fri Jan 29 09:24:25 2010	Oklahoma City, Oklahoma (73101) 	26.1	Light Snow Mist	75	6.0	NNE	4.0	19	100		28.73
Fri Jan 29 09:24:27 2010	Nashville, Tennessee (37201) 	29.0	Mostly Cloudy	57	4.0	West	10.0	16	10	Good 	30.33
Fri Jan 29 09:24:28 2010	Fort Worth, Texas (76101) 	44.5	Light Rain	95	2.0	NNE	7.0	43	100	Good 	30.00
Fri Jan 29 09:24:29 2010	Phoenix, Arizona (85001) 	53.6	Scattered Clouds	81	Calm		10.0	48	23		30.01
Fri Jan 29 09:24:30 2010	Portland, Oregon (97201) 	43.9	Overcast	69	4.0	ENE	10.0	34	6	Good 	29.93
Fri Jan 29 09:24:32 2010	Chicago, Illinois (60290) 	8.8	Scattered Clouds	46	2.0	NW	10.0	-8	0	Good 	30.53
Fri Jan 29 09:24:33 2010	San Antonio, Texas (78201) 	56.3	Light Rain Mist	82	10.7	North	5.0	51	100	Good 	29.81
Fri Jan 29 09:24:34 2010	Indianapolis, Indiana (46201) 	11.0	Scattered Clouds	70	Calm		10.0	3	0	Good 	30.51
Fri Jan 29 09:24:35 2010	Boston, Massachusetts (02101) 	16.0	Clear	37	24.0	West	10.0	-6	91		29.96
Fri Jan 29 09:24:37 2010	Jacksonville, Florida (32099) 	43.9	Scattered Clouds	90	Calm		10.0	41	0	Good 	30.17
Fri Jan 29 09:24:38 2010	Columbus, Ohio (43085) 	8.6	Clear	77	Calm		10.0	3	10	Good 	30.50
Fri Jan 29 09:24:39 2010	Dallas, Texas (75201) 	42.1	Light Rain Mist	90	8.0	North	6.0	39	100	Good 	30.07
Fri Jan 29 09:24:41 2010	Houston, Texas (77001) 	64.9	Overcast	96	10.0	SSE	9.0	64	22	Good 	29.78
Fri Jan 29 09:24:42 2010	Seattle, Washington (98101) 	47.3	Clear	60	2.0	SSW	10.0	34	11	Unhealthy for Sensitive Groups 	29.99
Fri Jan 29 09:24:43 2010	Milwaukee, Wisconsin (53201) 	3.9	Partly Cloudy	52	4.0	North	10.0	-10	0		30.65
Fri Jan 29 09:24:45 2010	Detroit, Michigan (48201) 	8.7	Clear	71	2.0	SE	10.0	1	30	Good 	30.45
Fri Jan 29 09:24:46 2010	Philadelphia, Pennsylvania (19019) 	17.9	Clear	50	1.0	WNW	10.0	2	46	Good 	30.31
Fri Jan 29 11:56:06 2010	San Jose, California (95101) 	44.0	Clear	99	Calm		7.0	44	35		30.01
Fri Jan 29 11:56:08 2010	Charlotte, North Carolina (28201) 	39.3	Clear	49	Calm		10.0	22	26	Good 	30.24
Fri Jan 29 11:56:09 2010	San Diego, California (92101) 	51.2	Mostly Cloudy	91	1.1	East	8.0	49	0	Moderate 	30.22
Fri Jan 29 11:56:10 2010	Denver, Colorado (80002) 	25.5	Overcast	88	Calm		6.0	22	0	Moderate 	30.21
Fri Jan 29 11:56:11 2010	Memphis, Tennessee (37501) 	31.8	Overcast	30	Calm		10.0	4	100	Good 	30.41
Fri Jan 29 11:56:13 2010	Los Angeles, California (90001) 	51.6	Clear	77	Calm		10.0	45	0		30.04
Fri Jan 29 11:56:14 2010	El Paso, Texas (79821) 	35.2	Overcast	81	1.1	SW	7.0	30	10	Good 	30.24
Fri Jan 29 11:56:15 2010	New York, New York (10001) 	17.9	Clear	50	15.0	WNW	10.0	2	0	Good 	30.29
Fri Jan 29 11:56:16 2010	Baltimore, Maryland (21201) 	19.7	Mostly Cloudy	50	2.0	SSW	10.0	4	5		30.39
Fri Jan 29 11:56:18 2010	Las Vegas, Nevada (89044) 	43.2	Scattered Clouds	58	Calm		10.0	29	0	Good 	29.97
Fri Jan 29 11:56:19 2010	Washington, District of Columbia (20001) 	20.5	Mostly Cloudy	44	10.0	WNW	10.0	2	7	Good 	30.38
Fri Jan 29 11:56:20 2010	Austin, Texas (78701) 	49.3	Rain Mist	77	Calm		4.0	42	60	Good 	29.35
Fri Jan 29 11:56:22 2010	San Francisco, California (94101) 	49.2	Overcast	86	Calm		6.0	45	51		30.04
Fri Jan 29 11:56:23 2010	Oklahoma City, Oklahoma (73101) 	24.6	Light Freezing Rain Mist	73	5.0	NNE	3.0	17	70		28.73
Fri Jan 29 11:56:27 2010	Nashville, Tennessee (37201) 	28.6	Overcast	58	9.0	West	10.0	16	100	Good 	30.32
Fri Jan 29 11:56:29 2010	Fort Worth, Texas (76101) 	39.5	Light Rain	94	6.0	NW	10.0	38	70	Good 	30.01
Fri Jan 29 11:56:30 2010	Phoenix, Arizona (85001) 	53.6	Mostly Cloudy	82	Calm		10.0	48	0	Good 	30.01
Fri Jan 29 11:56:31 2010	Portland, Oregon (97201) 	44.1	Overcast	68	3.0	NE	10.0	34	77	Good 	29.92
Fri Jan 29 11:56:32 2010	Chicago, Illinois (60290) 	8.4	Mostly Cloudy	50	1.0	NW	10.0	-6	23	Good 	30.52
Fri Jan 29 11:56:34 2010	San Antonio, Texas (78201) 	48.9	Overcast	80	4.0	NNE	8.0	43	40	Good 	29.84
Fri Jan 29 11:56:35 2010	Indianapolis, Indiana (46201) 	12.4	Overcast	68	Calm		10.0	4	6	Good 	30.49
Fri Jan 29 11:56:37 2010	Boston, Massachusetts (02101) 	14.0	Clear	37	25.0	WNW	10.0	-8	0	Good 	29.96
Fri Jan 29 11:56:38 2010	Jacksonville, Florida (32099) 	45.0	Overcast	89	Calm		10.0	42	7	Good 	30.17
Fri Jan 29 11:56:39 2010	Columbus, Ohio (43085) 	9.0	Clear	73	Calm		10.0	2	6	Good 	30.52
Fri Jan 29 11:56:40 2010	Dallas, Texas (75201) 	40.2	Light Rain Mist	90	8.0	NNE	6.0	38	70	Good 	30.05
Fri Jan 29 11:56:42 2010	Houston, Texas (77001) 	66.4	Overcast	96	13.0	South	8.0	65	90	Good 	29.73
Fri Jan 29 11:56:43 2010	Seattle, Washington (98101) 	45.8	Clear	69	3.0	WSW	10.0	36	34	Unhealthy for Sensitive Groups 	29.96
Fri Jan 29 11:56:44 2010	Milwaukee, Wisconsin (53201) 	3.0	Clear	56	1.0	NW	10.0	-9	6		30.64
Fri Jan 29 11:56:45 2010	Detroit, Michigan (48201) 	8.9	Clear	73	1.0	WNW	10.0	2	10	Good 	30.46
Fri Jan 29 11:56:47 2010	Philadelphia, Pennsylvania (19019) 	16.8	Clear	53	1.0	NNW	10.0	3	0	Good 	30.33
Fri Jan 29 12:40:43 2010	San Jose, California (95101) 	44.0	Clear	100	2.0	NE	8.0	44	35		30.02
Fri Jan 29 12:40:45 2010	Charlotte, North Carolina (28201) 	37.6	Clear	50	Calm		10.0	21	26	Good 	30.26
Fri Jan 29 12:40:49 2010	San Diego, California (92101) 	50.9	Mostly Cloudy	87	1.1	ENE	8.0	47	0	Moderate 	30.21
Fri Jan 29 12:40:51 2010	Denver, Colorado (80002) 	25.0	Overcast	89	Calm		6.0	22	0	Moderate 	30.20
Fri Jan 29 12:40:52 2010	Memphis, Tennessee (37501) 	31.8	Overcast	30	Calm		10.0	4	100	Good 	30.41
Fri Jan 29 12:40:53 2010	Los Angeles, California (90001) 	50.7	Clear	78	Calm		10.0	44	0		30.03
Fri Jan 29 12:40:55 2010	El Paso, Texas (79821) 	34.3	Overcast	82	3.5	SSW	7.0	29	10	Good 	30.24
Fri Jan 29 12:40:56 2010	New York, New York (10001) 	17.7	Clear	53	4.0	West	10.0	3	0	Good 	30.30
Fri Jan 29 12:40:57 2010	Baltimore, Maryland (21201) 	19.4	Mostly Cloudy	51	3.0	NE	10.0	4	5		30.41
Fri Jan 29 12:40:58 2010	Las Vegas, Nevada (89044) 	39.8	Mostly Cloudy	72	Calm		10.0	32	0	Good 	29.97
Fri Jan 29 12:41:00 2010	Washington, District of Columbia (20001) 	20.7	Mostly Cloudy	45	9.0	WNW	10.0	3	7	Good 	30.39
Fri Jan 29 12:41:01 2010	Austin, Texas (78701) 	48.2	Light Rain	76	Calm		10.0	41	60	Good 	29.35
Fri Jan 29 12:41:02 2010	San Francisco, California (94101) 	49.2	Mostly Cloudy	86	Calm		7.0	45	51		30.03
Fri Jan 29 12:41:06 2010	Oklahoma City, Oklahoma (73101) 	24.3	Light Freezing Rain Mist	73	5.0	NNE	3.0	17	70	Good 	28.70
Fri Jan 29 12:41:07 2010	Nashville, Tennessee (37201) 	28.1	Overcast	59	4.0	WNW	10.0	16	100	Good 	30.29
Fri Jan 29 12:41:08 2010	Fort Worth, Texas (76101) 	38.3	Rain	94	9.0	NW	8.0	37	70	Good 	30.01
Fri Jan 29 12:41:10 2010	Phoenix, Arizona (85001) 	53.5	Mostly Cloudy	81	3.0	East	10.0	48	0	Good 	30.00
Fri Jan 29 12:41:11 2010	Portland, Oregon (97201) 	44.1	Overcast	69	4.0	ENE	10.0	35	77	Good 	29.92
Fri Jan 29 12:41:12 2010	Chicago, Illinois (60290) 	8.6	Mostly Cloudy	51	1.0	West	10.0	-6	23	Good 	30.54
Fri Jan 29 12:41:14 2010	San Antonio, Texas (78201) 	47.7	Light Rain Mist	80	7.2	NNW	5.0	42	40	Good 	29.87
Fri Jan 29 12:41:15 2010	Indianapolis, Indiana (46201) 	12.8	Overcast	69	Calm		10.0	5	6	Good 	30.51
Fri Jan 29 12:41:16 2010	Boston, Massachusetts (02101) 	12.0	Clear	40	27.0	West	10.0	-8	0	Good 	29.99
Fri Jan 29 12:41:17 2010	Jacksonville, Florida (32099) 	46.0	Overcast	89	Calm		10.0	43	7	Good 	30.16
Fri Jan 29 12:41:18 2010	Columbus, Ohio (43085) 	9.1	Clear	73	Calm		10.0	2	6	Good 	30.53
Fri Jan 29 12:41:20 2010	Dallas, Texas (75201) 	39.8	Light Rain Mist	90	1.0	North	6.0	37	70	Good 	30.06
Fri Jan 29 12:41:21 2010	Houston, Texas (77001) 	66.9	Light Rain	96	5.0	SSE	8.0	66	90	Good 	29.73
Fri Jan 29 12:41:22 2010	Seattle, Washington (98101) 	45.6	Mostly Cloudy	65	1.0	NNW	10.0	34	34	Unhealthy for Sensitive Groups 	29.94
Fri Jan 29 12:41:24 2010	Milwaukee, Wisconsin (53201) 	2.8	Clear	58	Calm		10.0	-9	6		30.65
Fri Jan 29 12:41:25 2010	Detroit, Michigan (48201) 	8.8	Clear	72	1.0	North	10.0	2	10	Good 	30.44
Fri Jan 29 12:41:26 2010	Philadelphia, Pennsylvania (19019) 	16.4	Clear	57	1.0	NNW	10.0	4	0	Good 	30.34
Fri Jan 29 13:27:17 2010	San Jose, California (95101) 	44.0	Clear	100	Calm		9.0	44	35		30.02
Fri Jan 29 13:27:18 2010	Charlotte, North Carolina (28201) 	35.2	Scattered Clouds	55	Calm		10.0	21	26	Good 	30.29
Fri Jan 29 13:27:19 2010	San Diego, California (92101) 	51.4	Mostly Cloudy	88	Calm		9.0	48	0	Moderate 	30.22
Fri Jan 29 13:27:21 2010	Denver, Colorado (80002) 	22.8	Scattered Clouds	89	Calm		4.0	20	0	Moderate 	30.21
Fri Jan 29 13:27:22 2010	Memphis, Tennessee (37501) 	32.0	Overcast	28	Calm		10.0	3	100	Good 	30.44
Fri Jan 29 13:27:24 2010	Los Angeles, California (90001) 	50.3	Clear	78	Calm		10.0	44	0		30.04
Fri Jan 29 13:27:27 2010	El Paso, Texas (79821) 	34.7	Overcast	81	3.5	SSW	10.0	30	10	Good 	30.27
Fri Jan 29 13:27:28 2010	New York, New York (10001) 	16.9	Clear	54	5.0	West	10.0	3	0	Good 	30.31
Fri Jan 29 13:27:30 2010	Baltimore, Maryland (21201) 	19.4	Mostly Cloudy	52	4.0	WSW	10.0	5	5		30.43
Fri Jan 29 13:27:31 2010	Las Vegas, Nevada (89044) 	39.8	Mostly Cloudy	72	Calm		10.0	32	0	Good 	29.97
Fri Jan 29 13:27:32 2010	Washington, District of Columbia (20001) 	20.3	Mostly Cloudy	47	8.0	NW	10.0	3	7	Good 	30.42
Fri Jan 29 13:27:34 2010	Austin, Texas (78701) 	47.5	Rain Mist	80	Calm		6.0	42	80	Good 	29.38
Fri Jan 29 13:27:35 2010	San Francisco, California (94101) 	49.3	Overcast	86	Calm		7.0	45	51		30.03
Fri Jan 29 13:27:36 2010	Oklahoma City, Oklahoma (73101) 	24.4	Light Freezing Rain Mist	72	4.0	NNE	4.0	17	70	Good 	28.73
Fri Jan 29 13:27:38 2010	Nashville, Tennessee (37201) 	28.0	Overcast	60	9.0	WNW	10.0	16	100	Good 	30.28
