14	search.yahoo.com				
(Timestamp)	(Location)	(Temperature) (°F)	Condition	(High) (°F)	(Low) (°F)
Fri Jan 29 08:35:43 2010	San Jose, CA	48	Partly Cloudy	59	44
Fri Jan 29 08:35:43 2010	Charlotte, NC	42	Fair	61	31
Fri Jan 29 08:35:44 2010	San Diego, CA	51	Partly Cloudy	63	46
Fri Jan 29 08:35:45 2010	Denver, CO	27	Cloudy	33	22
Fri Jan 29 08:35:45 2010	Memphis, TN	33	Cloudy	42	29
Fri Jan 29 08:35:46 2010	Los Angeles, CA	57	Fair	66	46
Fri Jan 29 08:35:47 2010	New York, NY	19	Fair	38	17
Fri Jan 29 08:35:47 2010	El Paso, TX	30	Light Snow	41	29
Fri Jan 29 08:35:48 2010	Baltimore, MD	23	Fair	47	20
Fri Jan 29 08:35:49 2010	Washington, DC	24	Partly Cloudy	52	23
Fri Jan 29 08:35:49 2010	Las Vegas, NV	47	Fair	59	36
Fri Jan 29 08:35:50 2010	Austin, TX	55	Heavy Thunderstorm	63	40
Fri Jan 29 08:35:51 2010	Oklahoma City, OK	27	Light Freezing Rain	29	19
Fri Jan 29 08:35:51 2010	San Francisco, CA	51	Cloudy	56	49
Fri Jan 29 08:35:52 2010	Nashville, TN	28	Mostly Cloudy	42	26
Fri Jan 29 08:35:53 2010	Fort Worth, TX	46	Rain	57	30
Fri Jan 29 08:35:53 2010	Phoenix, AZ	55	Mostly Cloudy	64	48
Fri Jan 29 08:35:54 2010	Chicago, IL	7	Partly Cloudy	15	7
Fri Jan 29 08:35:54 2010	Portland, OR	48	Cloudy	53	42
Fri Jan 29 08:35:55 2010	San Antonio, TX	66	Cloudy	70	47
Fri Jan 29 08:35:56 2010	Indianapolis, IN	10	Partly Cloudy	20	6
Fri Jan 29 08:35:56 2010	Boston, MA	18	Fair/Windy	35	13
Fri Jan 29 08:35:57 2010	Jacksonville, FL	49	Partly Cloudy	64	44
Fri Jan 29 08:35:58 2010	Columbus, OH	11	Fair	21	6
Fri Jan 29 08:35:58 2010	Dallas, TX	43	Light Rain	56	36
Fri Jan 29 08:35:59 2010	Houston, TX	64	Cloudy	68	60
Fri Jan 29 08:36:00 2010	Milwaukee, WI	5	Partly Cloudy	11	4
Fri Jan 29 08:36:00 2010	Seattle, WA	47	Fair	53	45
Fri Jan 29 08:36:01 2010	Detroit, MI	8	Fair	20	6
Fri Jan 29 08:36:01 2010	Philadelphia, PA	20	Fair	46	20
