category,sub_category,href,items,price
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"Samsung Galaxy S21 128 GB, 8 GB RAM, Phantom White, Mobile Phone",59999.0
Electronics,TV & Speaker,https://www.jiomart.com/c/electronics/tv-speaker/tv-speakers-sound-bars/760,LG SN6Y 3.1 Channel Sound bar,28890.0
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/wearable-technology/772,"Samsung Gear Fit 2 SM-R3600 Fitness Band, Blue",11900.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-coin/1534,Reliance Jewels 5 GM 999 Silver Coin,577.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Shree Round Gold 24 KT 999 1 GM Coin,5520.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/moisturizers/3159,Khadi Essentials Skin Reviving Night Cream - Vitamin C & E with Hyaluronic Acid 30 ml,1040.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/face-skin-care/3207,The Beauty Co. Skin Toner - Tea Tree 200 ml,427.0
Electronics,Personal Care & Grooming,https://www.jiomart.com/c/electronics/personal-care-grooming/hair-dryers-stylers/804,Hector Professional Rotating Curling Iron (Tong) 32 MM,2649.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/eye-care/3212,O-Lens Viviring 1Day Coloured Contact Lenses- Choco ( 0.00 ) 1's,1235.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/eye-care/3212,O-Lens Scandi 1Day Coloured Contact Lenses - Scandi Olive ( 0.00 ) 1's,1235.0
Electronics,Kitchen Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/specialty-appliances/816,Baltra Egg Boiler 350 Watts with 7 Egg Poacher Silver,999.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Laxmi Gold 24 KT 999 1 GM Coin,5520.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/bluetooth-wifi-speakers/2908,"Zebronics Zeb-Crystal 4.1 Bluetooth Multimedia Speaker With Supporting USB, AUX, FM & Remote Control (Black)",2599.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/western-wear/510,Tees World Women Red Regular Fit Round Neck Pure Cotton Tshirt,1299.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 14.94 gm Lakshmi Silver Idol,3708.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/masks/3180,Essential Souls Face Pack for All Skin Types - Coffee 50 gm,332.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/pen-drives/718,"Kingston 64 GB USB 3.0 DataTraveler 100 Flash Drive, DT100G3",679.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/bags-belts-wallets/544,Lino Perros Womens Brown Handbag,1393.0
Electronics,Cameras,https://www.jiomart.com/c/electronics/cameras/digital-camera-accessories/770,Envie ECR20 2800 800 2PL Wall Plug Charger With 4 Rechargeable Batteries,679.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 7.33 gm Lakshmi Ganesh Silver Idol,2225.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/bags-belts-wallets/544,Zouk Women's Handcrafted Black Ikat U Shaped Sling Bag,1499.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 5.51 gm Lakshmi Ganesh Silver Idol,1483.0
Electronics,Home Appliances,https://www.jiomart.com/c/electronics/home-appliances/irons/726,Venus Iris 750 Watts Dry iron/ ISI / Weilburger Dual Coat Non-stick Soleplate (Jade green),550.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-coin/1534,Reliance Jewels Ganesh Silver 10 GM (999) Coin,865.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,Revolution Pro Supreme Matte Lip Pigment-Semblance 2.5 ml,625.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/eye-care/3212,Swati Cosmetics Coloured Lenses Turquoise 6 Month Contact Lenses ( - 5.5) 1's,3278.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/makeup/2701,,
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 8.95 gm Saraswati Silver Idol,2318.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Bal Gopal Ovel Gold 24 KT (999) 4 GM Coin,21554.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/fashion-jewellery/2285,"Morkanth Jewellery Gold-Plated Jhumkas ,Women",399.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/clothing-accessories/513,Vibe Girls White Printed Mask,360.0
Fashion,Boys,https://www.jiomart.com/c/fashion/boys/ethnic-wear/598,Pro-Ethic Style Developer Kids L Green Printed Design Silk Kurta Pajama Set For Boys,974.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/bags-belts-wallets/544,Trysco Women Genuine Leather Black Belt,599.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/night-loungewear/4058,HPS Sports Men Blue Polycotton Solid Shorts (M),320.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/unisex/3176,Ajmal Aurum Silver Shade Wisal Dahab Deodorant Spray (Pack of 3) 200 ml,551.0
Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,Tnw The Natural Wash Banana Shampoo Frizzy Hair Hydrates & Nourishes the scalp 200 ml,336.0
Beauty,Skin Care,https://www.jiomart.com/c/beauty/skin-care/masks/3180,Physicians Formula Pore Refining White Halloysite Clay Mask - Refine 17 gm,719.0
Electronics,Home Appliances,https://www.jiomart.com/c/electronics/home-appliances/fans/1347,"Gestor Marcus Neo Ultra High Speed 24 Inch With Wireless Remote Control 600 Mm Anti Dust 4 Blade Ceiling Fan, Smoked Brown",1751.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Mahavir Ji Round Gold 24 KT 999 1 GM Coin,5520.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 7.76 gm Ganesha Silver Idol,2276.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Laxmi-Ganesh Gold 24 KT (999) 5 GM Coin,27585.0
Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,Oxyglow Hair Oil - Red Onion 100 ml,237.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/cables-cords/739,BlueRigger USB 2.0 Type A Male to A Female Active Extension Cable - 5 m,1385.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/fashion-jewellery/2285,Swarajshop Alloy Necklace With Earring Set For Women Girls - (Sh0000000007147),275.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Anand Women Pink Bandhni Art Silk Single Saree,299.0
Beauty,Hair,https://www.jiomart.com/c/beauty/hair/hair-care/3155,MADES Bath & Body Fascination Pure Shampoo Pale Pink 200 ml,596.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/face-makeup/3150,"L'Oreal Paris Infallible 24H Fresh Wear Foundation, 330 Hazelnut 30 Gm",1140.0
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/regular-tablets/5037,"Lenovo Tab M10 25.65 cm (10.1 inch) Wi + LTE Tablet 4 GB RAM, 64 GB, Platinum Grey, ZA6V0149IN",16999.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 6.63 gm Lakshmi Silver Idol,1761.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Mahavir Ji Round Gold 24 KT 999 2 GM Coin,11038.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/face-makeup/3150,"Fashion Colour Professional Face & Body Highlighter, Shade 06 35 gm",379.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/bags-belts-wallets/528,Leaderachi Men Leather Brown Wallet And Belt Combo (Haleatherswkpb-10A-M),1197.0
Beauty,Tools & Appliances,https://www.jiomart.com/c/beauty/tools-appliances/hair-styling-tools/3432,Ikonic Hair Dryer Pro 2500+ White 1's,5225.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/face-makeup/3150,Bonjour Paris Photo Match Crayon Concealer - Honey 3.2 gm,379.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Bal Gopal Round Gold 24 KT 999 2 GM Coin,11038.0
Electronics,Kitchen Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/kitchen-hobs/799,"Elica Classic Flexi AB HCT 70 DX Built-In Hob with 4 Brass Burners, Auto Ignition, Black",21290.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/eyewear/2297,PEKUNIARY Full Rim UV Protection Wayfarer Sunglasses For Men & Women - (Multicolor lens),1500.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/women/3192,Maryaj Ramona EDP Citrus Floral Perfume And Maryaj Goldie EDP Fruity Floral Perfume 200 ml,1295.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/footwear/1480,GENTS SANDALS,409.0
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"Xiaomi Redmi Note 10 Lite 128 GB, 6 GB RAM, Aurora Blue Mobile Phone",16999.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/footwear/1480,Black Product,3249.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/eyes/3148,"Chambor Silver Shadow, Sable Rr3 32 gm",945.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Bal Gopal Round Gold 24 KT 999 1 GM Coin,5520.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 2.31 gm Ganesha Silver Idol,834.0
