state,capitol
DE,Dover
HI,Honolulu
TX,Austin
MA,Boston
MD,Annapolis
IA,Des Moines
ME,Augusta
ID,Boise
MI,Lansing
UT,Salt Lake City
MN,Saint Paul
MO,Jefferson City
IL,Springfield
IN,Indianapolis
MS,Jackson
MT,Helena
AK,Juneau
AL,Montgomery
VA,Richmond
AR,Little Rock
NC,Raleigh
ND,Bismarck
NE,Lincoln
RI,Providence
AZ,Phoenix
NH,Concord
NJ,Trenton
VT,Montpelier
NM,Santa Fe
FL,Tallahassee
NV,Carson City
WA,Olympia
NY,Albany
SC,Columbia
SD,Pierre
WI,Madison
OH,Columbus
GA,Atlanta
OK,Oklahoma City
CA,Sacramento
WV,Charleston
WY,Cheyenne
OR,Salem
KS,Topeka
CO,Denver
KY,Frankfort
CT,Hartford
PA,Harrisburg
LA,Baton Rouge
TN,Nashville
