precision,recall,f1_score,execution_time,threshold,two_step,bleu_1,bleu_2,bleu_3,bleu_4,prompt_token_count,candidates_token_count,total_token_count,total_calls,tp,fp,fn
0,0.0,0,21.214375019073486,0.125,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0,0.0,0,20.601529121398926,0.125,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0,0.0,0,20.4732563495636,0.25,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0,0.0,0,20.555599212646484,0.25,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0.807843137254902,0.3672014260249554,0.5049019607843137,34.14965295791626,0.375,True,0.5920773175417705,0.484577448198206,0.438060400120537,0.41223961377170465,58427,345,58772,345,206,49,355
0.8025078369905956,0.4563279857397504,0.5818181818181818,22.72236204147339,0.375,False,0.6378706905377272,0.5386949784650642,0.495413408451292,0.4721667660654517,0,0,0,0,256,63,305
0.7432885906040269,0.7896613190730838,0.7657735522904062,48.520660638809204,0.5,True,0.8809844398886637,0.8063169091074601,0.7720080617227169,0.7500842222213513,131193,800,131993,800,443,153,118
0.7220708446866485,0.9447415329768271,0.8185328185328185,22.177860021591187,0.5,False,0.9569722079886506,0.8984526176723879,0.8756836811920015,0.8598551407852121,0,0,0,0,530,204,31
0.718801996672213,0.7700534759358288,0.7435456110154905,49.24303340911865,0.625,True,0.8881876042034024,0.8094153794067909,0.7683150493669646,0.7435506239917786,134183,820,135003,820,432,169,129
0.7158176943699732,0.9518716577540107,0.8171384850803367,21.99193263053894,0.625,False,0.9678152681195269,0.9089159825076198,0.8817367850796373,0.8645302480575702,0,0,0,0,534,212,27
0.7156862745098039,0.7807486631016043,0.7468030690537084,48.98046636581421,0.75,True,0.8859722779653537,0.8083432876700035,0.769793514257994,0.7462810143454924,134183,820,135003,820,438,174,123
0.7158176943699732,0.9518716577540107,0.8171384850803367,21.87810206413269,0.75,False,0.9678152681195269,0.9089159825076198,0.8817367850796373,0.8645302480575702,0,0,0,0,534,212,27
0.7088815789473685,0.768270944741533,0.7373823781009411,48.764951944351196,0.875,True,0.8833355838194211,0.8030069614367056,0.7636953099504848,0.7386853955485996,134183,820,135003,820,431,177,130
0.7158176943699732,0.9518716577540107,0.8171384850803367,21.741267919540405,0.875,False,0.9678152681195269,0.9089159825076198,0.8817367850796373,0.8645302480575702,0,0,0,0,534,212,27
0.725328947368421,0.786096256684492,0.7544910179640718,28.400230646133423,0.5,,0.8875957916820603,0.8106211872638046,0.7719018683082545,0.7484977338440071,134183,820,135003,820,441,167,120
0,0.0,0,21.217563152313232,0,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0,0.0,0,20.547399044036865,0,False,0.0,0.0,0.0,0.0,0,0,0,0,0,0,561
0.7250409165302782,0.7896613190730838,0.7559726962457338,49.51023197174072,1,True,0.8901956541036345,0.812471733237302,0.7749453886367512,0.7507488947820927,134183,820,135003,820,443,168,118
0.7158176943699732,1.0,0.8171384850803367,22.665011167526245,1,False,0.9678152681195269,0.9089159825076198,0.8817367850796373,0.8645302480575702,0,0,0,0,534,212,0
